"table_name","column_name","data_type"
"customer","store_id","smallint"
"customer","first_name","character varying"
"customer","last_name","character varying"
"customer","email","character varying"
"customer","address_id","smallint"
"customer","active","integer"
"customer","customer_id","integer"
"customer","activebool","boolean"
"customer","create_date","date"
"customer","last_update","timestamp without time zone"
"actor","first_name","character varying"
"actor","last_name","character varying"
"actor","actor_id","integer"
"actor","last_update","timestamp without time zone"
"category","name","character varying"
"category","category_id","integer"
"category","last_update","timestamp without time zone"
"film","title","character varying"
"film","description","text"
"film","release_year","integer"
"film","language_id","smallint"
"film","length","smallint"
"film","special_features","ARRAY"
"film","fulltext","tsvector"
"film","film_id","integer"
"film","rental_duration","smallint"
"film","rental_rate","numeric"
"film","replacement_cost","numeric"
"film","rating","USER-DEFINED"
"film","last_update","timestamp without time zone"
"film_actor","actor_id","smallint"
"film_actor","film_id","smallint"
"film_actor","last_update","timestamp without time zone"
"film_category","film_id","smallint"
"film_category","category_id","smallint"
"film_category","last_update","timestamp without time zone"
"actor_info","actor_id","integer"
"actor_info","first_name","character varying"
"actor_info","last_name","character varying"
"actor_info","film_info","text"
"address","address","character varying"
"address","address2","character varying"
"address","district","character varying"
"address","city_id","smallint"
"address","postal_code","character varying"
"address","phone","character varying"
"address","address_id","integer"
"address","last_update","timestamp without time zone"
"city","city","character varying"
"city","country_id","smallint"
"city","city_id","integer"
"city","last_update","timestamp without time zone"
"country","country","character varying"
"country","country_id","integer"
"country","last_update","timestamp without time zone"
"customer_list","id","integer"
"customer_list","name","text"
"customer_list","address","character varying"
"customer_list","zip code","character varying"
"customer_list","phone","character varying"
"customer_list","city","character varying"
"customer_list","country","character varying"
"customer_list","notes","text"
"customer_list","sid","smallint"
"film_list","fid","integer"
"film_list","title","character varying"
"film_list","description","text"
"film_list","category","character varying"
"film_list","price","numeric"
"film_list","length","smallint"
"film_list","rating","USER-DEFINED"
"film_list","actors","text"
"inventory","film_id","smallint"
"inventory","store_id","smallint"
"inventory","inventory_id","integer"
"inventory","last_update","timestamp without time zone"
"language","name","character"
"language","language_id","integer"
"language","last_update","timestamp without time zone"
"nicer_but_slower_film_list","fid","integer"
"nicer_but_slower_film_list","title","character varying"
"nicer_but_slower_film_list","description","text"
"nicer_but_slower_film_list","category","character varying"
"nicer_but_slower_film_list","price","numeric"
"nicer_but_slower_film_list","length","smallint"
"nicer_but_slower_film_list","rating","USER-DEFINED"
"nicer_but_slower_film_list","actors","text"
"payment","customer_id","smallint"
"payment","staff_id","smallint"
"payment","rental_id","integer"
"payment","amount","numeric"
"payment","payment_date","timestamp without time zone"
"payment","payment_id","integer"
"rental","rental_date","timestamp without time zone"
"rental","inventory_id","integer"
"rental","customer_id","smallint"
"rental","return_date","timestamp without time zone"
"rental","staff_id","smallint"
"rental","rental_id","integer"
"rental","last_update","timestamp without time zone"
"sales_by_film_category","category","character varying"
"sales_by_film_category","total_sales","numeric"
"staff","first_name","character varying"
"staff","last_name","character varying"
"staff","address_id","smallint"
"staff","email","character varying"
"staff","store_id","smallint"
"staff","username","character varying"
"staff","password","character varying"
"staff","picture","bytea"
"staff","staff_id","integer"
"staff","active","boolean"
"staff","last_update","timestamp without time zone"
"store","manager_staff_id","smallint"
"store","address_id","smallint"
"store","store_id","integer"
"store","last_update","timestamp without time zone"
"sales_by_store","store","text"
"sales_by_store","manager","text"
"sales_by_store","total_sales","numeric"
"staff_list","id","integer"
"staff_list","name","text"
"staff_list","address","character varying"
"staff_list","zip code","character varying"
"staff_list","phone","character varying"
"staff_list","city","character varying"
"staff_list","country","character varying"
"staff_list","sid","smallint"
