"table_name","column_name"
"customer","store_id"
"customer","first_name"
"customer","last_name"
"customer","email"
"customer","address_id"
"customer","active"
"customer","customer_id"
"customer","activebool"
"customer","create_date"
"customer","last_update"
"actor","first_name"
"actor","last_name"
"actor","actor_id"
"actor","last_update"
"category","name"
"category","category_id"
"category","last_update"
"film","title"
"film","description"
"film","release_year"
"film","language_id"
"film","length"
"film","special_features"
"film","fulltext"
"film","film_id"
"film","rental_duration"
"film","rental_rate"
"film","replacement_cost"
"film","rating"
"film","last_update"
"film_actor","actor_id"
"film_actor","film_id"
"film_actor","last_update"
"film_category","film_id"
"film_category","category_id"
"film_category","last_update"
"actor_info","actor_id"
"actor_info","first_name"
"actor_info","last_name"
"actor_info","film_info"
"address","address"
"address","address2"
"address","district"
"address","city_id"
"address","postal_code"
"address","phone"
"address","address_id"
"address","last_update"
"city","city"
"city","country_id"
"city","city_id"
"city","last_update"
"country","country"
"country","country_id"
"country","last_update"
"customer_list","id"
"customer_list","name"
"customer_list","address"
"customer_list","zip code"
"customer_list","phone"
"customer_list","city"
"customer_list","country"
"customer_list","notes"
"customer_list","sid"
"film_list","fid"
"film_list","title"
"film_list","description"
"film_list","category"
"film_list","price"
"film_list","length"
"film_list","rating"
"film_list","actors"
"inventory","film_id"
"inventory","store_id"
"inventory","inventory_id"
"inventory","last_update"
"language","name"
"language","language_id"
"language","last_update"
"nicer_but_slower_film_list","fid"
"nicer_but_slower_film_list","title"
"nicer_but_slower_film_list","description"
"nicer_but_slower_film_list","category"
"nicer_but_slower_film_list","price"
"nicer_but_slower_film_list","length"
"nicer_but_slower_film_list","rating"
"nicer_but_slower_film_list","actors"
"payment","customer_id"
"payment","staff_id"
"payment","rental_id"
"payment","amount"
"payment","payment_date"
"payment","payment_id"
"rental","rental_date"
"rental","inventory_id"
"rental","customer_id"
"rental","return_date"
"rental","staff_id"
"rental","rental_id"
"rental","last_update"
"sales_by_film_category","category"
"sales_by_film_category","total_sales"
"staff","first_name"
"staff","last_name"
"staff","address_id"
"staff","email"
"staff","store_id"
"staff","username"
"staff","password"
"staff","picture"
"staff","staff_id"
"staff","active"
"staff","last_update"
"store","manager_staff_id"
"store","address_id"
"store","store_id"
"store","last_update"
"sales_by_store","store"
"sales_by_store","manager"
"sales_by_store","total_sales"
"staff_list","id"
"staff_list","name"
"staff_list","address"
"staff_list","zip code"
"staff_list","phone"
"staff_list","city"
"staff_list","country"
"staff_list","sid"
